word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,VERB
join,0,0,0,0,0,0,0,2
band,0,0,0,0,0,1,0,0
robber,0,0,0,0,0,4,0,0
break,0,0,0,0,0,0,0,3
scene,0,0,0,0,0,1,0,0
confuse,0,0,0,0,0,0,0,3
manage,0,0,0,0,0,0,0,2
carry,0,0,0,0,0,0,0,11
belong,0,0,0,0,0,0,0,1
cane,0,0,0,0,0,1,0,0
surely,0,0,1,0,0,0,0,0
rob,0,0,0,0,0,0,0,6
enrage,0,0,0,0,0,0,0,1
kid,0,0,0,0,0,2,0,0
sure,4,0,0,0,0,0,0,0
defend,0,0,0,0,0,0,0,1
business,0,0,0,0,0,6,0,0
enter,0,0,0,0,0,0,0,3
tavern,0,0,0,0,0,1,0,0
promise,0,0,0,0,0,2,0,8
miss,0,0,0,0,0,0,0,4
information,0,0,0,0,0,5,0,0
whereabouts,0,0,0,0,0,1,0,0
gold,2,0,0,0,0,11,0,0
coin,0,0,0,0,0,6,0,0
copy,0,0,0,0,0,0,0,1
address,0,0,0,0,0,4,0,1
study,0,0,0,0,0,1,0,1
tea,0,0,0,0,0,4,0,0
low,1,0,0,0,0,0,0,0
birth,0,0,0,0,0,4,0,0
display,0,0,0,0,0,0,0,1
treachery,0,0,0,0,0,1,0,0
ingratitude,0,0,0,0,0,1,0,0
malice,0,0,0,0,0,1,0,0
attack,0,0,0,0,0,0,0,1
