word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
throat,0,0,0,0,0,0,2,0,0,0,0,0,0,0
carcass,0,0,0,0,0,0,4,0,0,0,0,0,0,0
burn,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ashe,0,0,0,0,0,0,4,0,0,0,0,0,0,0
scatter,0,0,0,0,0,0,0,0,0,0,0,0,6,0
blot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
list,0,0,0,0,0,0,2,0,0,0,0,0,1,0
mention,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gang,0,0,0,0,0,0,13,0,0,0,0,0,0,0
curse,0,0,0,0,0,0,1,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,0,0,10,0
real,11,0,1,0,0,0,0,0,0,0,0,0,0,0
beautiful,10,0,0,0,0,0,0,0,0,0,0,0,0,0
pirate,0,0,0,0,0,0,10,0,0,0,0,0,0,0
high,20,0,5,0,0,0,0,0,0,0,0,0,0,0
toned,2,0,0,0,0,0,0,0,0,0,0,0,0,0
idea,0,0,0,0,0,0,14,0,0,0,0,0,0,0
pencil,0,0,0,0,0,0,2,0,0,0,0,0,0,0
father,0,0,0,0,0,0,20,0,0,0,0,0,0,0
