word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
sneer,0,0,0,0,0,1,0,0,0,4,0
scarecrow,0,0,0,0,0,2,0,0,0,0,0
noose,0,0,0,0,0,5,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,8,0
coat,0,0,0,0,0,6,0,0,0,0,0
thousand,0,0,0,0,0,1,0,0,0,0,0
broken,1,0,0,0,0,0,0,0,0,0,0
stool,0,0,0,0,0,5,0,0,0,0,0
carefully,0,0,2,0,0,0,0,0,0,0,0
wobble,0,0,0,0,0,0,0,0,0,2,0
topple,0,0,0,0,0,0,0,0,0,3,0
small,18,0,0,0,0,0,0,0,0,0,0
purse,0,0,0,0,0,2,0,0,0,0,0
dummy,0,0,0,0,0,2,0,0,0,0,0
manage,0,0,0,0,0,0,0,0,0,2,0
add,0,0,0,0,0,0,0,0,0,5,0
cause,0,0,0,0,0,0,0,0,0,4,0
single,2,0,0,0,0,0,0,0,0,0,0
ring,0,0,0,0,0,0,0,0,0,2,0
stutter,0,0,0,0,0,0,0,0,0,1,0
grin,0,0,0,0,0,1,0,0,0,3,0
show,0,0,0,0,0,0,0,0,0,1,0
mouthful,0,0,0,0,0,1,0,0,0,0,0
rot,0,0,0,0,0,0,0,0,0,1,0
simple,1,0,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,6,0,0,0,0,0
stay,0,0,0,0,0,0,0,0,0,8,0
steady,1,0,0,0,0,0,0,0,0,0,0
task,0,0,0,0,0,3,0,0,0,0,0
slowly,0,0,3,0,0,0,0,0,0,0,0
nearly,0,0,4,0,0,0,0,0,0,0,0
fingertip,0,0,0,0,0,1,0,0,0,0,0
touch,0,0,0,0,0,2,0,0,0,7,0
tumble,0,0,0,0,0,0,0,0,0,2,0
rattle,0,0,0,0,0,0,0,0,0,2,0
beg,0,0,0,0,0,0,0,0,0,7,0
neck,0,0,0,0,0,12,0,0,0,0,0
drag,0,0,0,0,0,0,0,0,0,3,0
tremble,0,0,0,0,0,0,0,0,0,8,0
