word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
leader,0,0,0,0,0,0,12,0,0,0,0,0
priest,0,0,0,0,0,0,19,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,0,19,0
day,0,0,0,0,0,0,14,0,0,0,0,0
basis,0,0,0,0,0,0,19,0,0,0,0,0
monk,0,0,0,0,0,0,24,0,0,0,0,0
devote,0,0,0,0,0,0,0,0,0,0,8,0
work,0,0,0,0,0,0,49,0,0,0,17,0
prayer,0,0,0,0,0,0,8,0,0,0,0,0
contemplation,0,0,0,0,0,0,4,0,0,0,0,0
catholic,9,0,0,0,0,0,0,0,0,0,0,0
reflect,0,0,0,0,0,0,0,0,0,0,25,0
universality,0,0,0,0,0,0,3,0,0,0,0,0
collective,6,0,0,0,0,0,1,0,0,0,0,0
conversion,0,0,0,0,0,0,14,0,0,0,0,0
ruler,0,0,0,0,0,0,46,0,0,0,0,0
king,0,0,0,0,0,0,64,0,0,0,0,0
view,0,0,0,0,0,0,16,0,0,0,1,0
servant,0,0,0,0,0,0,4,0,0,0,0,0
monarchy,0,0,0,0,0,0,20,0,0,0,0,0
uphold,0,0,0,0,0,0,0,0,0,0,2,0
supremacy,0,0,0,0,0,0,2,0,0,0,0,0
frankish,19,0,0,0,0,0,0,0,0,0,0,0
carolingian,20,0,0,0,0,0,0,0,0,0,0,0
dynasty,0,0,0,0,0,0,16,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,18,0
restore,0,0,0,0,0,0,0,0,0,0,7,0
unity,0,0,0,0,0,0,5,0,0,0,0,0
world,0,0,0,0,0,0,59,0,0,0,0,0
expand,0,0,0,0,0,0,0,0,0,0,18,0
dominance,0,0,0,0,0,0,3,0,0,0,0,0
border,0,0,0,0,0,0,8,0,0,0,1,0
old,42,0,0,0,0,0,0,0,0,0,0,0
father,0,0,0,0,0,0,6,0,0,0,0,0
encourage,0,0,0,0,0,0,0,0,0,0,7,0
write,0,0,0,0,0,0,0,0,0,0,26,0
