word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
act,0,0,0,0,0,1,0,0,0,13,0
pull,0,0,0,0,0,0,0,0,0,2,0
slope,0,0,0,0,0,29,0,0,0,2,0
field,0,0,0,0,0,15,0,0,0,0,0
piedmont,1,0,0,0,0,6,0,0,0,0,0
flat,13,0,2,0,0,0,0,0,0,0,0
feed,0,0,0,0,0,0,0,0,0,7,0
hang,0,0,0,0,0,0,0,0,0,4,0
cling,0,0,0,0,0,0,0,0,0,1,0
precariously,0,0,1,0,0,0,0,0,0,0,0
avalanche,0,0,0,0,0,2,0,0,0,0,0
advance,0,0,0,0,0,20,0,0,0,10,0
greatly,0,0,19,0,0,0,0,0,0,0,0
alter,0,0,0,0,0,0,0,0,0,4,0
landscape,0,0,0,0,0,19,0,0,0,0,0
enormous,6,0,0,0,0,0,0,0,0,0,0
absorb,0,0,0,0,0,0,0,0,0,14,0
melt,0,0,0,0,0,21,0,0,0,74,0
refreeze,0,0,0,0,0,0,0,0,0,10,0
pry,0,0,0,0,0,0,0,0,0,1,0
retreat,0,0,0,0,0,26,0,0,0,10,0
leave,0,0,0,0,0,1,0,0,0,16,0
till,0,0,0,0,0,33,0,0,0,0,0
comprise,0,0,0,0,0,0,0,0,0,1,0
huge,9,0,0,0,0,0,0,0,0,0,0
boulder,0,0,0,0,0,16,0,0,0,0,0
tiny,4,0,0,0,0,0,0,0,0,0,0
bit,0,0,0,0,0,6,0,0,0,0,0
flour,0,0,0,0,0,6,0,0,0,0,0
fjord,0,0,0,0,0,30,0,0,0,0,0
arête,0,0,0,0,0,4,0,0,0,0,0
mold,0,0,0,0,0,0,0,0,0,2,0
extend,0,0,0,0,0,0,0,0,0,23,0
direction,0,0,0,0,0,29,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,7,0
roughly,0,0,12,0,0,0,0,0,0,0,0
million,0,0,0,0,0,2,41,0,0,0,0
square,49,0,0,0,0,0,0,0,0,0,0
mile,0,0,0,0,0,83,0,0,0,0,0
kilometre,0,0,0,0,0,18,0,0,0,0,0
generally,0,0,59,0,0,0,0,0,0,0,0
drain,0,0,0,0,0,0,0,0,0,9,0
high,134,0,6,0,0,0,0,0,0,0,0
elevation,0,0,0,0,0,14,0,0,0,0,0
basin,0,0,0,0,0,37,0,0,0,0,0
stream,0,0,0,0,0,57,0,0,0,0,0
interior,6,0,0,0,0,12,0,0,0,0,0
inch,0,0,0,0,0,32,0,0,0,0,0
speed,0,0,0,0,0,21,0,0,0,1,0
outer,7,0,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,17,0,0,0,0,0
slab,0,0,0,0,0,1,0,0,0,0,0
hammer,0,0,0,0,0,0,0,0,0,1,0
wave,0,0,0,0,0,20,0,0,0,0,0
tide,0,0,0,0,0,6,0,0,0,0,0
eventually,0,0,15,0,0,0,0,0,0,0,0
sever,0,0,0,0,0,0,0,0,0,1,0
calve,0,0,0,0,0,0,0,0,0,25,0
apart,0,0,8,0,0,0,0,0,0,0,0
unleash,0,0,0,0,0,0,0,0,0,1,0
tabular,14,0,0,0,0,0,0,0,0,0,0
freeboard,1,0,0,0,0,11,0,0,0,0,0
height,0,0,0,0,0,14,0,0,0,0,0
occasionally,0,0,10,0,0,0,0,0,0,0,0
berg,0,0,0,0,0,66,0,0,0,0,0
contrast,0,0,0,0,0,14,0,0,0,1,0
counterpart,0,0,0,0,0,2,0,0,0,0,0
island,0,0,0,0,0,45,0,0,0,0,0
regardless,0,0,1,0,0,0,0,0,0,0,0
soon,0,0,2,0,0,0,0,0,0,0,0
away,0,6,14,0,0,0,0,0,0,0,0
parent,0,0,0,0,0,8,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,2,0
seep,0,0,0,0,0,0,0,0,0,1,0
travel,0,0,0,0,0,2,0,0,0,2,0
great,69,0,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,11,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,16,0
carry,0,0,0,0,0,0,0,0,0,12,0
scientist,0,0,0,0,0,13,0,0,0,0,0
identify,0,0,0,0,0,0,0,0,0,4,0
evidence,0,0,0,0,0,13,0,0,0,1,0
tragedy,0,0,0,0,0,1,0,0,0,0,0
historically,0,0,2,0,0,0,0,0,0,0,0
danger,0,0,0,0,0,6,0,0,0,0,0
ship,0,0,0,0,0,14,0,0,0,0,0
currently,0,0,4,0,0,0,0,0,0,0,0
patrol,0,0,0,0,0,1,0,0,0,0,0
track,0,0,0,0,0,5,0,0,0,2,0
transmit,0,0,0,0,0,0,0,0,0,4,0
report,0,0,0,0,0,5,0,0,0,4,0
system,0,0,0,0,0,19,0,0,0,0,0
place,0,0,0,0,0,32,0,0,0,5,0
aircraft,0,0,0,0,0,5,0,0,0,0,0
recently,0,0,6,0,0,0,0,0,0,0,0
satellite,0,0,0,0,0,11,0,0,0,0,0
invade,0,0,0,0,0,0,0,0,0,1,0
shipping,0,0,0,0,0,8,0,0,0,0,0
lane,0,0,0,0,0,3,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,11,0
usually,0,0,38,0,0,0,0,0,0,0,0
tow,0,0,0,0,0,0,0,0,0,3,0
special,7,0,0,0,0,0,0,0,0,0,0
explosive,3,0,0,0,0,3,0,0,0,0,0
fragment,0,0,0,0,0,10,0,0,0,6,0
perfect,0,0,0,0,0,0,0,0,0,2,0
difficulty,0,0,0,0,0,3,0,0,0,0,0
compound,0,0,0,0,0,1,0,0,0,1,0
affix,0,0,0,0,0,0,0,0,0,1,0
device,0,0,0,0,0,2,0,0,0,0,0
capsize,0,0,0,0,0,4,0,0,0,3,0
prone,2,0,0,0,0,0,0,0,0,0,0
glaciologist,0,0,0,0,0,4,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,12,0
