word,ADJ,ADP,ADV,INTJ,NOUN,NUM,SYM,VERB,X
quickly,0,0,3,0,0,0,0,0,0
necessary,4,0,0,0,0,0,0,0,0
product,0,0,0,0,5,0,0,0,0
additional,1,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,1,0
sense,0,0,0,0,1,0,0,0,0
thank,0,0,0,0,1,0,0,0,0
handy,1,0,0,0,0,0,0,0,0
textbook,0,0,0,0,1,0,0,0,0
teach,0,0,0,0,0,0,0,2,0
thoroughly,0,0,1,0,0,0,0,0,0
lose,0,0,0,0,0,0,0,1,0
touch,0,0,0,0,1,0,0,0,0
principle,0,0,0,0,2,0,0,0,0
serve,0,0,0,0,0,0,0,2,0
standard,3,0,0,0,0,0,0,0,0
multiplicand,0,0,0,0,1,0,0,0,0
component,0,0,0,0,3,0,0,0,0
line,0,0,0,0,4,0,0,0,0
partial,1,0,0,0,0,0,0,0,0
distributive,3,0,0,0,0,0,0,0,0
evenly,0,0,5,0,0,0,0,0,0
following,1,0,0,0,0,0,0,0,0
