word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
derive,0,0,0,0,0,0,0,6,0
wind,0,0,0,0,39,0,0,0,0
particle,0,0,0,0,22,0,0,0,0
expand,0,0,0,0,0,0,0,1,0
outward,0,0,8,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,11,0
escape,0,0,0,0,0,0,0,3,0
oxygen,0,0,0,0,20,0,0,0,0
sodium,0,0,0,0,4,0,0,0,0
potassium,0,0,0,0,5,0,0,0,0
calcium,0,0,0,0,6,0,0,0,0
discover,0,0,0,0,0,0,0,4,0
subsequently,0,0,4,0,0,0,0,0,0
probably,0,0,15,0,0,0,0,0,0
soil,0,0,0,0,9,0,0,0,0
meteoroid,0,0,0,0,2,0,0,0,0
eject,0,0,0,0,0,0,0,4,0
bombardment,0,0,0,0,5,0,0,0,0
tend,0,0,0,0,0,0,0,9,0
accumulate,0,0,0,0,0,0,0,6,0
dissipate,0,0,0,0,0,0,0,2,0
rock,0,0,0,0,52,0,0,0,0
tenuous,4,0,0,0,0,0,0,0,0
ionize,0,0,0,0,0,0,0,1,0
strike,0,0,0,0,1,0,0,10,0
energetic,6,0,0,0,0,0,0,0,0
magnetosphere,0,0,0,0,15,0,0,0,0
unlike,0,4,0,0,0,0,0,0,0
measure,0,0,0,0,0,0,0,10,0
ion,0,0,0,0,5,0,0,0,0
identify,0,0,0,0,0,0,0,2,0
magnesium,0,0,0,0,4,0,0,0,0
sulfur,0,0,0,0,14,0,0,0,0
cometlike,1,0,0,0,0,0,0,0,0
tail,0,0,0,0,2,0,0,0,0
prominently,0,0,2,0,0,0,0,0,0
spectral,2,0,0,0,0,0,0,0,0
emission,0,0,0,0,2,0,0,0,0
line,0,0,0,0,3,0,0,0,0
abundance,0,0,0,0,6,0,0,0,0
extremely,0,0,8,0,0,0,0,0,0
hundred,0,0,0,0,9,0,0,0,0
ten,0,0,0,0,13,0,0,0,0
thousand,0,0,0,0,3,3,0,0,0
centimetre,0,0,0,0,3,0,0,0,0
sensitive,2,0,0,0,0,0,0,0,0
element,0,0,0,0,13,0,0,0,0
watch,0,0,0,0,0,0,0,1,0
patch,0,0,0,0,3,0,0,0,0
neighbourhood,0,0,0,0,1,0,0,0,0
come,0,0,0,0,0,0,0,9,0
primarily,0,0,5,0,0,0,0,0,0
theoretical,1,0,0,0,0,0,0,0,0
practical,1,0,0,0,0,0,0,0,0
importance,0,0,0,0,2,0,0,0,0
remarkable,3,0,0,0,0,0,0,0,0
discovery,0,0,0,0,7,0,0,0,0
highly,0,0,9,0,0,0,0,0,0
reflective,1,0,0,0,0,0,0,0,0
material,0,0,0,0,43,0,0,0,0
ice,0,0,0,0,38,0,0,0,0
despite,0,0,0,0,0,0,12,0,0
able,4,0,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,3,0
insulate,0,0,0,0,0,0,0,2,0
layer,0,0,0,0,25,0,0,1,0
organic,2,0,0,0,0,0,0,0,0
permanently,0,0,3,0,0,0,0,0,0
shadowed,1,0,0,0,0,0,0,0,0
region,0,0,0,0,33,0,0,0,0
polar,13,0,0,0,1,0,0,0,0
idea,0,0,0,0,5,0,0,0,0
nearest,0,1,0,0,0,0,0,0,0
harbour,0,0,0,0,0,0,0,1,0
deposit,0,0,0,0,4,0,0,4,0
originally,0,0,1,0,0,0,0,0,0
bizarre,1,0,0,0,0,0,0,0,0
history,0,0,0,0,15,0,0,0,0
comet,0,0,0,0,6,0,0,0,0
broil,0,0,0,0,0,0,0,1,0
immediately,0,0,3,0,0,0,0,0,0
turn,0,0,0,0,2,0,0,1,0
sublime,0,0,0,0,2,0,0,1,0
individual,3,0,0,0,0,0,0,0,0
molecule,0,0,0,0,7,0,0,0,0
hop,0,0,0,0,1,0,0,1,0
random,3,0,0,0,0,0,0,0,0
direction,0,0,0,0,17,0,0,0,0
ballistic,1,0,0,0,0,0,0,0,0
odd,0,0,0,0,1,0,0,0,0
poor,2,0,0,0,0,0,0,0,0
dissociate,0,0,0,0,0,0,0,2,0
calculation,0,0,0,0,4,0,0,0,0
eventually,0,0,8,0,0,0,0,0,0
depression,0,0,0,0,8,0,0,0,0
axis,0,0,0,0,11,0,0,0,0
essentially,0,0,6,0,0,0,0,0,0
perpendicular,1,0,0,0,0,0,0,0,0
horizontal,3,0,0,0,0,0,0,0,0
bottom,0,0,0,0,1,0,0,0,0
permanent,2,0,0,0,0,0,0,0,0
shadow,0,0,0,0,1,0,0,0,0
hold,0,0,0,0,0,0,0,6,0
gradually,0,0,1,0,0,0,0,0,0
build,0,0,0,0,0,0,0,3,0
susceptibility,0,0,0,0,1,0,0,0,0
away,0,1,4,0,0,0,0,0,0
slight,3,0,0,0,0,0,0,0,0
warmth,0,0,0,0,2,0,0,0,0
reflect,0,0,0,0,0,0,0,2,0
distant,4,0,0,0,0,0,0,0,0
mountain,0,0,0,0,17,0,0,0,0
rim,0,0,0,0,4,0,0,0,0
reduce,0,0,0,0,0,0,0,4,0
cloak,0,0,0,0,0,0,0,1,0
debris,0,0,0,0,6,0,0,0,0
regolith,0,0,0,0,1,0,0,0,0
inch,0,0,0,0,4,0,0,0,0
compound,0,0,0,0,4,0,0,0,0
